Sensor Position (Degrees),Light Intensity (Volts)
0.0,0.08768
0.0,0.08462
0.0,0.08043
0.0,0.08735
0.0,0.08317
0.0,0.08397
0.0,0.08075
0.0,0.08381
0.0,0.08446
0.0,0.08945
0.0,0.08558
0.0,0.08574
0.0,0.07818
0.0,0.08478
0.0,0.08381
0.0,0.08751
0.0,0.08188
0.0,0.08269
0.0,0.08478
0.0,0.08381
0.0,0.08558
0.0,0.08301
0.0,0.08301
0.0,0.08462
0.0,0.08558
0.0,0.0851
0.0,0.08896
0.0,0.08446
0.0,0.08526
0.0,0.08027
0.0,0.08091
0.0,0.08124
0.0,0.08252
0.0,0.07995
0.0,0.08204
0.0,0.0785
0.0,0.08108
0.0,0.08381
0.0,0.08188
0.0,0.08108
0.0,0.07947
0.0,0.08011
0.0,0.08462
0.0,0.07963
0.0,0.08043
0.0,0.07753
0.0,0.08124
0.0,0.08317
0.0,0.0822
0.0,0.08124
0.0,0.08462
0.0,0.07882
0.0,0.08108
0.0,0.08381
0.0,0.08027
0.0,0.08108
0.0,0.0851
0.0,0.08156
0.0,0.08397
0.0,0.08462
0.0,0.08236
0.0,0.08333
0.0,0.0843
0.0,0.08091
0.0,0.08349
0.0,0.0814
0.0,0.07882
0.0,0.08413
0.0,0.07995
0.0,0.07995
0.0,0.08462
0.0,0.08156
0.0,0.08896
0.0,0.08494
0.0,0.08091
0.0,0.08365
0.0,0.08301
0.0,0.07898
0.0,0.08204
0.0,0.08124
0.0,0.0822
0.0,0.08124
0.0,0.07931
0.0,0.08252
0.0,0.08269
0.0,0.08349
0.0,0.0822
0.0,0.08027
0.0,0.08188
0.0,0.07979
0.0,0.08333
0.0,0.08542
0.0,0.08317
0.0,0.0814
0.0,0.08108
0.0,0.07947
0.0,0.0814
0.0,0.08397
0.0,0.08156
0.0,0.08252
0.0,0.07802
0.0,0.07609
0.0,0.08285
0.0,0.08526
0.0,0.08236
0.0,0.08703
0.0,0.08623
0.0,0.08526
0.0,0.08349
0.0,0.08252
0.0,0.08494
0.0,0.08027
0.0,0.08542
0.0,0.08478
0.0,0.0814
0.0,0.08349
0.0,0.0851
0.0,0.08719
0.0,0.07979
0.0,0.08478
0.0,0.08075
0.0,0.07947
0.0,0.08091
0.0,0.08735
0.0,0.0843
0.0,0.08735
0.0,0.08269
0.0,0.08156
0.0,0.08124
0.0,0.08172
0.0,0.08075
0.0,0.08912
0.0,0.0843
0.0,0.08413
0.0,0.08204
0.0,0.08446
0.0,0.08478
0.0,0.07705
0.0,0.08269
0.0,0.07802
0.0,0.08301
0.0,0.07979
0.0,0.08301
-0.0203,0.08059
-0.0203,0.08252
0.0,0.08526
0.0,0.0859
0.0,0.08059
-0.01015,0.08558
-0.01015,0.08574
-0.0203,0.08285
0.0,0.08784
0.0,0.08735
-0.01015,0.08381
-0.0203,0.08269
-0.0203,0.08204
-0.0203,0.0859
-0.0203,0.0814
-0.03046,0.08172
-0.05076,0.08027
-0.06091,0.08365
-0.06091,0.08751
-0.06091,0.08252
-0.06091,0.08494
-0.06091,0.08381
-0.06091,0.08719
-0.06091,0.08623
-0.06091,0.08301
-0.06091,0.0822
-0.06091,0.08204
-0.06091,0.08735
-0.06091,0.08333
-0.06091,0.08623
-0.06091,0.08494
-0.06091,0.08269
-0.06091,0.08655
-0.06091,0.08832
-0.06091,0.08832
-0.06091,0.08011
-0.06091,0.08607
-0.06091,0.08542
-0.06091,0.08735
-0.06091,0.0814
-0.06091,0.08172
-0.06091,0.088
-0.06091,0.08365
-0.06091,0.08526
-0.06091,0.08462
-0.06091,0.08639
-0.06091,0.0851
-0.06091,0.08848
-0.05076,0.08381
-0.05076,0.08558
-0.05076,0.08285
-0.04061,0.08574
-0.04061,0.08735
-0.04061,0.08558
-0.04061,0.08365
-0.04061,0.08172
-0.04061,0.088
-0.04061,0.09186
-0.04061,0.0843
-0.04061,0.08735
-0.04061,0.08735
-0.03046,0.08446
-0.03046,0.0859
-0.03046,0.08574
-0.03046,0.08446
