Chart Recorder Data File Fri, Feb 7, 2025 12:38 PM
Time (s)	Position (m)  
11:40:43.648	0.212000
11:40:44.647	0.212000
11:40:45.647	0.212000
11:40:46.647	0.212000
11:40:47.647	0.212000
11:40:48.647	0.213000
11:40:49.647	0.213000
11:40:50.647	0.213000
11:40:51.647	0.213000
11:40:52.648	0.213000
11:40:53.647	0.213000
11:40:54.647	0.214000
11:40:55.647	0.214000
11:40:56.647	0.214000
11:40:57.647	0.214000
11:40:58.647	0.214000
11:40:59.647	0.214000
11:41:00.647	0.215000
11:41:01.647	0.215000
11:41:02.647	0.215000
11:41:03.647	0.215000
11:41:04.647	0.215000
11:41:05.647	0.215000
11:41:06.647	0.215000
11:41:07.647	0.215000
11:41:08.648	0.215000
11:41:09.647	0.216000
11:41:10.647	0.216000
11:41:11.647	0.216000
11:41:12.647	0.216000
11:41:13.648	0.216000
11:41:14.647	0.216000
11:41:15.647	0.216000
11:41:16.647	0.216000
11:41:17.647	0.216000
11:41:18.647	0.216000
11:41:19.647	0.216000
11:41:20.647	0.216000
11:41:21.647	0.216000
11:41:22.647	0.216000
11:41:23.647	0.216000
11:41:24.647	0.216000
11:41:25.647	0.216000
11:41:26.647	0.216000
11:41:27.647	0.216000
11:41:28.647	0.216000
11:41:29.647	0.216000
11:41:30.648	0.216000
11:41:31.647	0.216000
11:41:32.647	0.216000
11:41:33.647	0.216000
11:41:34.647	0.215000
11:41:35.647	0.215000
11:41:36.647	0.215000
11:41:37.647	0.215000
11:41:38.647	0.215000
11:41:39.647	0.215000
11:41:40.647	0.215000
11:41:41.648	0.215000
11:41:42.647	0.214000
11:41:43.647	0.214000
11:41:44.647	0.214000
11:41:45.647	0.214000
11:41:46.647	0.214000
11:41:47.647	0.213000
11:41:48.647	0.213000
11:41:49.647	0.213000
11:41:50.647	0.213000
11:41:51.647	0.213000
11:41:52.647	0.212000
11:41:53.647	0.212000
11:41:54.647	0.212000
11:41:55.647	0.211000
11:41:56.647	0.211000
11:41:57.647	0.211000
11:41:58.647	0.211000
11:41:59.647	0.211000
11:42:00.647	0.211000
11:42:01.647	0.210000
11:42:02.647	0.210000
11:42:03.647	0.210000
11:42:04.647	0.210000
11:42:05.647	0.209000
11:42:06.647	0.209000
11:42:07.647	0.209000
11:42:08.647	0.209000
11:42:09.647	0.208000
11:42:10.647	0.208000
11:42:11.647	0.208000
11:42:12.647	0.208000
11:42:13.647	0.207000
11:42:14.647	0.207000
11:42:15.647	0.207000
11:42:16.647	0.207000
11:42:17.647	0.206000
11:42:18.647	0.206000
11:42:19.647	0.206000
11:42:20.647	0.206000
11:42:21.647	0.205000
11:42:22.647	0.205000
11:42:23.647	0.205000
11:42:24.647	0.205000
11:42:25.647	0.204000
11:42:26.647	0.204000
11:42:27.647	0.204000
11:42:28.647	0.204000
11:42:29.647	0.203000
11:42:30.647	0.203000
11:42:31.647	0.203000
11:42:32.647	0.203000
11:42:33.647	0.202000
11:42:34.647	0.202000
11:42:35.648	0.202000
11:42:36.647	0.201000
11:42:37.647	0.201000
11:42:38.647	0.201000
11:42:39.647	0.201000
11:42:40.647	0.201000
11:42:41.647	0.200000
11:42:42.648	0.200000
