Chart Recorder Data File Fri, Feb 7, 2025 12:40 PM
Time (s)	Position (m)  
11:35:49.844	0.073000
11:35:51.844	0.072000
11:35:52.845	0.073000
11:35:53.844	0.072000
11:35:54.845	0.072000
11:35:55.845	0.071000
11:35:56.844	0.071000
11:35:57.845	0.070000
11:35:58.845	0.070000
11:35:59.845	0.070000
11:36:00.844	0.070000
11:36:01.845	0.070000
11:36:02.844	0.070000
11:36:03.844	0.069000
11:36:04.845	0.068000
11:36:05.845	0.069000
11:36:06.845	0.068000
11:36:07.845	0.067000
11:36:08.845	0.067000
11:36:09.844	0.067000
11:36:10.844	0.066000
11:36:11.845	0.066000
11:36:12.845	0.066000
11:36:13.844	0.065000
11:36:14.845	0.064000
11:36:15.844	0.064000
11:36:16.845	0.064000
11:36:17.845	0.063000
11:36:18.845	0.063000
11:36:19.845	0.062000
11:36:20.845	0.062000
11:36:21.844	0.063000
11:36:22.845	0.063000
11:36:23.845	0.060000
11:36:24.844	0.060000
11:36:25.844	0.060000
11:36:26.845	0.060000
11:36:27.844	0.059000
11:36:28.845	0.058000
11:36:29.845	0.060000
11:36:30.846	0.057000
11:36:31.845	0.058000
11:36:32.844	0.057000
11:36:33.845	0.057000
11:36:34.845	0.056000
11:36:35.845	0.055000
11:36:36.845	0.055000
11:36:37.845	0.054000
11:36:38.845	0.054000
11:36:39.845	0.054000
11:36:40.845	0.053000
11:36:41.845	0.053000
11:36:42.844	0.052000
11:36:43.845	0.051000
11:36:44.845	0.051000
11:36:45.844	0.051000
11:36:46.845	0.051000
11:36:47.845	0.050000
11:36:48.844	0.050000
11:36:49.845	0.051000
11:36:50.844	0.049000
11:36:51.845	0.048000
11:36:52.845	0.047000
11:36:53.845	0.047000
11:36:54.845	0.047000
11:36:55.845	0.047000
11:36:56.844	0.046000
11:36:57.845	0.045000
11:36:58.845	0.045000
11:36:59.845	0.045000
11:37:00.844	0.045000
11:37:01.845	0.044000
11:37:02.845	0.043000
11:37:03.845	0.043000
11:37:04.845	0.043000
11:37:05.845	0.043000
11:37:06.845	0.041000
11:37:07.845	0.042000
11:37:08.845	0.041000
11:37:09.845	0.041000
11:37:10.845	0.040000
11:37:11.845	0.040000
11:37:12.844	0.040000
11:37:13.845	0.039000
11:37:14.844	0.040000
11:37:15.845	0.038000
11:37:16.845	0.038000
11:37:17.845	0.038000
11:37:18.845	0.038000
11:37:19.845	0.038000
11:37:20.845	0.037000
11:37:21.845	0.037000
11:37:22.845	0.037000
11:37:23.845	0.036000
11:37:24.845	0.036000
11:37:25.845	0.037000
11:37:26.845	0.036000
11:37:27.845	0.036000
11:37:28.845	0.035000
11:37:29.845	0.035000
11:37:30.845	0.035000
11:37:31.845	0.035000
11:37:32.845	0.034000
11:37:33.845	0.035000
11:37:34.845	0.034000
11:37:35.845	0.034000
11:37:36.845	0.034000
11:37:37.845	0.034000
11:37:38.845	0.034000
11:37:39.845	0.034000
11:37:40.845	0.034000
11:37:41.845	0.034000
11:37:42.845	0.034000
11:37:43.845	0.033000
11:37:44.845	0.033000
11:37:45.845	0.033000
11:37:46.845	0.032000
11:37:47.845	0.033000
11:37:48.845	0.033000
11:37:49.845	0.033000
11:37:50.845	0.032000
11:37:51.846	0.032000
11:37:52.845	0.033000
11:37:53.845	0.033000
11:37:54.845	0.033000
11:37:55.845	0.033000
11:37:56.846	0.033000
11:37:57.845	0.033000
11:37:58.845	0.032000
11:37:59.845	0.032000
11:38:00.845	0.032000
11:38:01.845	0.033000
11:38:02.845	0.032000
11:38:03.845	0.032000
11:38:04.846	0.033000
11:38:05.845	0.033000
11:38:06.845	0.033000
11:38:07.845	0.033000
11:38:08.845	0.033000
11:38:09.845	0.033000
11:38:10.845	0.033000
11:38:11.845	0.034000
11:38:12.846	0.033000
11:38:13.846	0.034000
11:38:14.846	0.034000
11:38:15.845	0.034000
11:38:16.845	0.034000
11:38:17.845	0.034000
11:38:18.845	0.034000
11:38:19.845	0.034000
11:38:20.845	0.035000
11:38:21.846	0.035000
11:38:22.845	0.034000
11:38:23.845	0.035000
11:38:24.845	0.036000
11:38:25.846	0.036000
11:38:26.845	0.035000
11:38:27.846	0.036000
11:38:28.845	0.036000
11:38:29.845	0.037000
11:38:30.846	0.037000
11:38:31.846	0.037000
11:38:32.845	0.037000
11:38:33.845	0.037000
11:38:34.845	0.037000
11:38:35.845	0.038000
11:38:36.846	0.038000
11:38:37.845	0.038000
11:38:38.845	0.038000
11:38:39.845	0.039000
11:38:40.845	0.039000
11:38:41.845	0.039000
11:38:42.845	0.040000
11:38:43.846	0.040000
11:38:44.845	0.041000
11:38:45.845	0.041000
11:38:46.846	0.043000
11:38:47.845	0.042000
11:38:48.845	0.042000
11:38:49.846	0.042000
11:38:50.845	0.043000
11:38:51.845	0.043000
11:38:52.846	0.044000
11:38:53.845	0.044000
11:38:54.845	0.044000
11:38:55.845	0.045000
11:38:56.845	0.045000
11:38:57.846	0.046000
11:38:58.845	0.046000
11:38:59.846	0.047000
11:39:00.846	0.046000
11:39:01.846	0.046000
11:39:02.846	0.047000
11:39:03.846	0.048000
11:39:04.845	0.049000
