Time,Position
11:40:45.647200,0.212
11:40:51.147166,0.213
11:40:57.147000,0.214
11:41:04.647111,0.215
11:41:21.647080,0.216
11:41:38.147125,0.215
11:41:44.647000,0.214
11:41:49.647000,0.213
11:41:53.647000,0.212
11:41:58.147000,0.211
11:42:03.147000,0.21
11:42:07.147000,0.209
11:42:11.147000,0.208
11:42:15.147000,0.207
11:42:19.147000,0.206
11:42:23.147000,0.205
11:42:27.147000,0.204
11:42:31.147000,0.203
11:42:34.647333,0.202
11:42:38.647000,0.201
11:42:42.647333,0.2
11:42:46.147000,0.199
11:42:50.147000,0.198
11:42:54.147250,0.197
11:42:58.147000,0.196
11:43:02.147000,0.195
11:43:05.647000,0.194
11:43:09.647000,0.193
11:43:14.647000,0.192
11:43:20.647285,0.191
11:43:30.647076,0.19
11:43:49.647160,0.189
11:44:09.147214,0.19
11:44:21.147000,0.191
11:44:28.647000,0.192
11:44:34.647428,0.193
11:44:40.147000,0.194
11:44:44.647000,0.195
11:44:49.147000,0.196
11:44:53.647200,0.197
11:44:58.147000,0.198
11:45:02.147000,0.199
11:45:06.147000,0.2
11:45:09.647333,0.201
11:45:13.647000,0.202
11:45:18.147000,0.203
11:45:22.147000,0.204
11:45:26.647000,0.205
11:45:32.147000,0.206
11:45:37.647200,0.207
11:45:42.647000,0.208
11:45:49.647000,0.209
11:45:58.647000,0.21
11:46:12.647000,0.211
11:46:25.147000,0.212
11:46:29.147000,0.211
11:46:30.647000,0.212
11:46:39.147062,0.211
11:46:51.647000,0.21
11:46:59.147000,0.209
11:47:04.647000,0.208
11:47:10.147000,0.207
11:47:15.647000,0.206
11:47:21.147000,0.205
11:47:27.147000,0.204
11:47:32.147000,0.203
11:47:37.147000,0.202
11:47:42.147000,0.201
11:47:47.147000,0.2
11:47:52.647200,0.199
11:47:57.647200,0.198
11:48:03.647000,0.197
11:48:10.147166,0.196
11:48:15.647000,0.195
11:48:22.147000,0.194
11:48:31.147100,0.193
11:48:54.647162,0.192
11:49:19.647000,0.193
11:49:29.647000,0.194
11:49:37.647000,0.195
11:49:45.147166,0.196
11:49:51.147000,0.197
11:49:57.647000,0.198
11:50:04.147333,0.199
11:50:10.147000,0.2
11:50:16.147000,0.201
11:50:21.647200,0.202
11:50:27.147000,0.203
11:50:33.147833,0.204
11:50:40.147250,0.205
11:50:48.647111,0.206
11:50:58.147100,0.207
11:51:10.647133,0.208
11:51:30.647040,0.209
11:51:49.147000,0.208
11:52:00.647000,0.207
11:52:10.147250,0.206
11:52:18.147000,0.205
11:52:26.147125,0.204
11:52:33.147166,0.203
11:52:40.147125,0.202
11:52:47.147000,0.201
11:52:54.147000,0.2
11:53:01.147000,0.199
11:53:08.147125,0.198
11:53:16.647000,0.197
11:53:25.647000,0.196
11:53:37.147071,0.195
11:53:44.647000,0.194
11:53:46.647000,0.195
11:54:04.647151,0.194
11:54:28.147142,0.195
11:54:40.147000,0.196
11:54:50.147100,0.197
11:55:00.147100,0.198
11:55:08.147000,0.199
11:55:16.147000,0.2
11:55:24.647000,0.201
11:55:32.647111,0.202
11:55:41.147500,0.203
11:55:51.147166,0.204
11:56:05.147250,0.205
11:56:35.147045,0.206
11:56:58.147500,0.205
11:57:00.147000,0.206
11:57:08.147000,0.205
11:57:21.147083,0.204
11:57:31.647000,0.203
11:57:41.147000,0.202
11:57:50.147125,0.201
11:58:00.147083,0.2
11:58:10.647111,0.199
11:58:20.647181,0.198
11:58:34.147000,0.197
11:59:07.647098,0.196
11:59:41.147000,0.197
11:59:56.147071,0.198
12:00:07.647000,0.199
12:00:18.647153,0.2
12:00:30.147100,0.201
12:00:41.647076,0.202
12:00:54.647076,0.203
12:01:11.647142,0.204
12:01:40.147027,0.205
12:02:07.647000,0.204
12:02:17.647000,0.203
12:02:18.647000,0.204
12:02:25.647000,0.203
12:02:38.647153,0.202
12:02:51.147000,0.201
12:03:05.147062,0.2
12:03:18.647090,0.199
12:03:34.147000,0.198
12:04:12.647070,0.197
12:04:51.147050,0.198
12:05:08.647000,0.199
12:05:23.647066,0.2
12:05:39.147062,0.201
12:05:55.147187,0.202
12:06:15.647120,0.203
12:06:28.647000,0.204
12:06:32.147166,0.203
12:06:43.147000,0.204
12:06:51.647000,0.203
12:06:52.647000,0.204
12:06:53.647000,0.203
12:06:55.147000,0.204
12:07:10.147107,0.203
12:07:35.647000,0.202
12:07:53.147000,0.201
12:07:59.647000,0.2
12:08:01.647000,0.201
12:08:13.147050,0.2
12:08:33.647095,0.199
12:08:45.147000,0.198
12:08:46.647000,0.199
12:08:47.647000,0.198
12:08:48.647000,0.199
12:09:17.147053,0.198
12:09:56.647000,0.199
12:10:20.647120,0.2
12:10:42.647052,0.201
12:11:05.647148,0.202
12:11:19.647000,0.203
12:11:20.647000,0.202
12:11:44.647148,0.203
12:12:24.647212,0.202
12:12:49.647058,0.201
12:13:12.647068,0.2
12:13:42.147066,0.199
12:14:00.147000,0.198
12:14:03.648000,0.199
12:14:13.647157,0.198
12:14:23.647000,0.199
12:14:32.147062,0.198
12:14:56.356838,0.199
