Time (s),Position (m)
10:16:53.648,0.181
10:16:54.648,0.181
10:16:55.647,0.181
10:16:56.647,0.181
10:16:57.647,0.181
10:16:58.647,0.181
10:16:59.647,0.181
10:17:00.647,0.181
10:17:01.647,0.181
10:17:02.647,0.181
10:17:03.647,0.181
10:17:04.647,0.181
10:17:05.647,0.18
10:17:06.647,0.18
10:17:07.647,0.18
10:17:08.647,0.18
10:17:09.647,0.18
10:17:10.647,0.18
10:17:11.647,0.0
10:17:12.647,0.179
10:17:13.648,0.179
10:17:14.647,0.179
10:17:15.647,0.179
10:17:16.647,0.179
10:17:17.647,0.178
10:17:18.647,0.178
10:17:19.647,0.178
10:17:20.647,0.178
10:17:21.647,0.178
10:17:22.647,0.177
10:17:23.647,0.177
10:17:24.647,0.176
10:17:25.647,0.176
10:17:26.647,0.176
10:17:27.647,0.176
10:17:28.647,0.175
10:17:29.647,0.175
10:17:30.647,0.175
10:17:31.647,0.174
10:17:32.647,0.174
10:17:33.647,0.174
10:17:34.647,0.173
10:17:35.647,0.173
10:17:36.647,0.173
10:17:37.648,0.172
10:17:38.647,0.172
10:17:39.647,0.172
10:17:40.647,0.171
10:17:41.647,0.171
10:17:42.647,0.17
10:17:43.647,0.17
10:17:44.647,0.17
10:17:45.647,0.17
10:17:46.647,0.169
10:17:47.647,0.169
10:17:48.647,0.168
10:17:49.648,0.168
10:17:50.648,0.167
10:17:51.647,0.167
10:17:52.647,0.167
10:17:53.647,0.166
10:17:54.647,0.166
10:17:55.647,0.165
10:17:56.647,0.165
10:17:57.647,0.165
10:17:58.648,0.165
10:17:59.647,0.164
10:18:00.647,0.164
10:18:01.647,0.164
10:18:02.647,0.163
10:18:03.647,0.163
10:18:04.647,0.162
10:18:05.647,0.162
10:18:06.647,0.162
10:18:07.647,0.161
10:18:08.648,0.161
10:18:09.647,0.161
10:18:10.647,0.16
10:18:11.648,0.16
10:18:12.647,0.16
10:18:13.647,0.159
10:18:14.647,0.159
10:18:15.647,0.158
10:18:16.648,0.158
10:18:17.648,0.158
10:18:18.647,0.157
10:18:19.647,0.157
10:18:20.647,0.156
10:18:21.647,0.156
10:18:22.647,0.156
10:18:23.647,0.155
10:18:24.647,0.155
10:18:25.647,0.155
10:18:26.647,0.154
10:18:27.647,0.154
10:18:28.647,0.154
10:18:29.647,0.153
10:18:30.648,0.153
10:18:31.647,0.153
10:18:32.647,0.152
10:18:33.647,0.152
10:18:34.647,0.152
10:18:35.647,0.151
10:18:36.647,0.151
10:18:37.647,0.151
10:18:38.647,0.15
10:18:39.647,0.15
10:18:40.647,0.15
10:18:41.647,0.149
10:18:42.647,0.149
10:18:43.648,0.149
10:18:44.647,0.148
10:18:45.648,0.148
10:18:46.647,0.148
10:18:47.647,0.148
10:18:48.647,0.147
10:18:49.647,0.147
10:18:50.647,0.147
10:18:51.647,0.146
10:18:52.647,0.146
10:18:53.647,0.146
10:18:54.647,0.146
10:18:55.647,0.146
10:18:56.647,0.145
10:18:57.647,0.145
10:18:58.647,0.145
10:18:59.647,0.144
10:19:00.647,0.144
10:19:01.647,0.144
10:19:02.647,0.144
10:19:03.647,0.144
10:19:04.647,0.144
10:19:05.647,0.144
10:19:06.647,0.144
10:19:07.647,0.143
10:19:08.647,0.143
10:19:09.647,0.143
10:19:10.647,0.143
10:19:11.647,0.143
10:19:12.647,0.143
10:19:13.647,0.143
10:19:14.647,0.143
10:19:15.647,0.143
10:19:16.647,0.142
10:19:17.647,0.142
10:19:18.647,0.142
10:19:19.647,0.142
10:19:20.647,0.142
10:19:21.647,0.142
10:19:22.647,0.142
10:19:23.647,0.142
10:19:24.647,0.142
10:19:25.647,0.142
10:19:26.647,0.142
10:19:27.647,0.142
10:19:28.647,0.142
10:19:29.647,0.142
10:19:30.647,0.142
10:19:31.647,0.142
10:19:32.647,0.143
10:19:33.647,0.143
10:19:34.647,0.143
10:19:35.647,0.143
10:19:36.647,0.143
10:19:37.647,0.143
10:19:38.647,0.143
10:19:39.647,0.143
10:19:40.647,0.143
10:19:41.647,0.143
10:19:42.647,0.143
10:19:43.647,0.144
10:19:44.647,0.144
10:19:45.647,0.144
10:19:46.647,0.144
10:19:47.647,0.144
10:19:48.647,0.144
10:19:49.647,0.144
10:19:50.647,0.144
10:19:51.647,0.145
10:19:52.647,0.145
10:19:53.647,0.145
10:19:54.647,0.145
10:19:55.648,0.145
10:19:56.647,0.146
10:19:57.648,0.146
10:19:58.647,0.146
10:19:59.647,0.146
10:20:00.647,0.146
10:20:01.647,0.147
10:20:02.647,0.147
10:20:03.647,0.147
10:20:04.647,0.147
10:20:05.647,0.148
10:20:06.647,0.148
10:20:07.647,0.148
10:20:08.647,0.148
10:20:09.647,0.148
10:20:10.647,0.149
10:20:11.647,0.149
10:20:12.647,0.149
10:20:13.647,0.15
10:20:14.648,0.15
10:20:15.647,0.15
10:20:16.647,0.151
10:20:17.647,0.151
10:20:18.647,0.151
10:20:19.647,0.151
10:20:20.647,0.152
10:20:21.647,0.152
10:20:22.647,0.152
10:20:23.647,0.152
10:20:24.647,0.153
10:20:25.647,0.153
10:20:26.647,0.153
10:20:27.647,0.154
10:20:28.647,0.154
10:20:29.647,0.154
10:20:30.647,0.155
10:20:31.647,0.155
10:20:32.647,0.155
10:20:33.647,0.155
10:20:34.648,0.156
10:20:35.647,0.156
10:20:36.647,0.156
10:20:37.647,0.157
10:20:38.647,0.157
10:20:39.648,0.157
10:20:40.647,0.158
10:20:41.647,0.158
10:20:42.648,0.159
10:20:43.647,0.159
10:20:44.647,0.159
10:20:45.647,0.159
10:20:46.647,0.16
10:20:47.647,0.16
10:20:48.647,0.16
10:20:49.647,0.161
10:20:50.647,0.161
10:20:51.647,0.161
10:20:52.647,0.162
10:20:53.647,0.162
10:20:54.647,0.162
10:20:55.647,0.163
10:20:56.647,0.163
10:20:57.647,0.163
