Time,Position
10:16:59.147166,0.181
10:17:08.147000,0.18
10:17:11.647000,0.0
10:17:14.647200,0.179
10:17:19.647000,0.178
10:17:23.147000,0.177
10:17:26.147000,0.176
10:17:29.647000,0.175
10:17:32.647000,0.174
10:17:35.647000,0.173
10:17:38.647333,0.172
10:17:41.147000,0.171
10:17:44.147000,0.17
10:17:47.147000,0.169
10:17:49.147500,0.168
10:17:51.647333,0.167
10:17:54.147000,0.166
10:17:57.147250,0.165
10:18:00.647000,0.164
10:18:03.147000,0.163
10:18:05.647000,0.162
10:18:08.647333,0.161
10:18:11.647333,0.16
10:18:14.147000,0.159
10:18:16.647666,0.158
10:18:19.147000,0.157
10:18:21.647000,0.156
10:18:24.647000,0.155
10:18:27.647000,0.154
10:18:30.647333,0.153
10:18:33.647000,0.152
10:18:36.647000,0.151
10:18:39.647000,0.15
10:18:42.647333,0.149
10:18:46.147250,0.148
10:18:49.647000,0.147
10:18:53.647000,0.146
10:18:57.647000,0.145
10:19:03.147000,0.144
10:19:11.647000,0.143
10:19:24.147000,0.142
10:19:37.647000,0.143
10:19:47.147000,0.144
10:19:53.647200,0.145
10:19:58.647200,0.146
10:20:03.147000,0.147
10:20:07.647000,0.148
10:20:11.647000,0.149
10:20:14.647333,0.15
10:20:18.147000,0.151
10:20:22.147000,0.152
10:20:25.647000,0.153
10:20:28.647000,0.154
10:20:32.147000,0.155
10:20:35.647333,0.156
10:20:38.647333,0.157
10:20:41.147000,0.158
10:20:44.147250,0.159
10:20:47.647000,0.16
10:20:50.647000,0.161
10:20:53.647000,0.162
10:20:56.647000,0.163
10:21:00.147000,0.164
10:21:04.147000,0.165
10:21:08.147000,0.166
10:21:12.147000,0.167
10:21:16.147000,0.168
10:21:20.147250,0.169
10:21:25.147000,0.17
10:21:31.147000,0.171
10:21:39.147200,0.172
10:22:00.147093,0.173
10:22:20.147125,0.172
10:22:27.147166,0.171
10:22:33.147000,0.17
10:22:38.147250,0.169
10:22:42.147250,0.168
10:22:46.147250,0.167
10:22:50.647000,0.166
10:22:55.147000,0.165
10:22:59.147000,0.164
10:23:02.647000,0.163
10:23:06.647000,0.162
10:23:10.647000,0.161
10:23:14.147000,0.16
10:23:18.147000,0.159
10:23:22.147250,0.158
10:23:25.647000,0.157
10:23:29.147000,0.156
10:23:33.647200,0.155
10:23:38.647200,0.154
10:23:43.147000,0.153
10:23:47.647200,0.152
10:23:52.647000,0.151
10:23:57.647200,0.15
10:24:03.647142,0.149
10:24:12.147100,0.148
10:24:31.647137,0.147
10:24:50.647111,0.148
10:24:58.647000,0.149
10:25:04.647000,0.15
10:25:10.147166,0.151
10:25:16.147166,0.152
10:25:21.147000,0.153
10:25:26.147000,0.154
10:25:31.147250,0.155
10:25:35.647200,0.156
10:25:39.647000,0.157
10:25:43.647000,0.158
10:25:48.147000,0.159
10:25:52.147250,0.16
10:25:56.147000,0.161
10:26:00.647000,0.162
10:26:05.147000,0.163
10:26:09.647200,0.164
10:26:15.147000,0.165
10:26:21.147333,0.166
10:26:27.147000,0.167
10:26:34.647111,0.168
10:26:42.147000,0.169
10:27:04.647051,0.17
10:27:27.647000,0.169
10:27:35.147000,0.168
10:27:42.647142,0.167
10:27:49.147000,0.166
10:27:56.147000,0.165
10:28:02.647000,0.164
10:28:07.147000,0.163
10:28:12.647142,0.162
10:28:18.147000,0.161
10:28:23.147000,0.16
10:28:28.647000,0.159
10:28:34.147333,0.158
10:28:39.147000,0.157
10:28:44.147000,0.156
10:28:51.647111,0.155
10:28:59.647000,0.154
10:29:06.147000,0.153
10:29:16.147000,0.152
10:29:23.647000,0.151
10:29:24.647000,0.152
10:29:34.147000,0.151
10:29:43.647000,0.152
10:29:44.647000,0.151
10:29:45.647000,0.152
10:29:46.648000,0.151
10:29:55.147125,0.152
10:30:07.147125,0.153
10:30:15.147000,0.154
10:30:23.147000,0.155
10:30:30.147000,0.156
10:30:35.647000,0.157
10:30:41.647000,0.158
10:30:47.647200,0.159
10:30:53.147333,0.16
10:30:58.647000,0.161
10:31:05.147125,0.162
10:31:11.647000,0.163
10:31:17.647000,0.164
10:31:25.647111,0.165
10:31:34.647222,0.166
10:31:44.147100,0.167
10:31:49.647000,0.168
10:31:50.647000,0.167
10:32:11.147125,0.168
10:32:37.147000,0.167
10:32:43.647000,0.166
10:32:44.647000,0.167
10:32:49.147375,0.166
10:32:55.647000,0.165
10:32:58.647000,0.0
10:33:01.647000,0.165
10:33:07.647000,0.164
10:33:15.147000,0.163
10:33:22.147000,0.162
10:33:28.647000,0.161
10:33:35.647142,0.16
10:33:43.647111,0.159
10:33:52.147000,0.158
10:33:59.647000,0.157
10:34:08.147200,0.156
10:34:26.647111,0.155
10:34:41.647000,0.154
10:34:44.647000,0.155
10:34:47.147000,0.154
10:35:00.647280,0.155
10:35:18.647090,0.156
10:35:28.147125,0.157
10:35:36.647111,0.158
10:35:45.647000,0.159
10:35:54.147125,0.16
10:36:01.647000,0.161
10:36:10.147200,0.162
10:36:19.647111,0.163
10:36:29.147200,0.164
10:36:42.147000,0.165
10:37:15.647058,0.166
