Time (s),Position (m)
10:47:04.829,0.064
10:47:06.830,0.064
10:47:07.830,0.064
10:47:08.829,0.064
10:47:09.829,0.065
10:47:10.829,0.064
10:47:11.829,0.065
10:47:12.829,0.065
10:47:13.829,0.065
10:47:14.829,0.065
10:47:15.829,0.066
10:47:16.830,0.066
10:47:17.829,0.065
10:47:18.829,0.066
10:47:19.830,0.066
10:47:20.829,0.067
10:47:21.829,0.066
10:47:22.830,0.067
10:47:23.829,0.067
10:47:24.829,0.067
10:47:25.830,0.068
10:47:26.829,0.068
10:47:27.829,0.068
10:47:28.829,0.068
10:47:29.829,0.068
10:47:30.829,0.068
10:47:31.829,0.068
10:47:32.829,0.069
10:47:33.830,0.069
10:47:34.829,0.069
10:47:35.830,0.07
10:47:36.829,0.071
10:47:37.829,0.07
10:47:38.829,0.071
10:47:39.829,0.071
10:47:40.830,0.071
10:47:41.829,0.072
10:47:42.829,0.073
10:47:43.829,0.072
10:47:44.830,0.073
10:47:45.829,0.073
10:47:46.830,0.074
10:47:47.830,0.073
10:47:48.829,0.074
10:47:49.829,0.074
10:47:50.830,0.075
10:47:51.830,0.075
10:47:52.829,0.075
10:47:53.830,0.077
10:47:54.830,0.076
10:47:55.830,0.077
10:47:56.829,0.077
10:47:57.830,0.077
10:47:58.829,0.077
10:47:59.829,0.078
10:48:00.829,0.078
10:48:01.829,0.078
10:48:02.830,0.079
10:48:03.830,0.079
10:48:04.829,0.079
10:48:05.829,0.079
10:48:06.830,0.08
10:48:07.829,0.08
10:48:08.829,0.08
10:48:09.829,0.081
10:48:10.830,0.081
10:48:11.829,0.081
10:48:12.830,0.082
10:48:13.829,0.082
10:48:14.829,0.082
10:48:15.830,0.083
10:48:16.830,0.083
10:48:17.829,0.083
10:48:18.830,0.083
10:48:19.830,0.083
10:48:20.830,0.083
10:48:21.830,0.084
10:48:22.830,0.084
10:48:23.830,0.084
10:48:24.829,0.084
10:48:25.829,0.085
10:48:26.830,0.085
10:48:27.830,0.085
10:48:28.829,0.086
10:48:29.830,0.086
10:48:30.830,0.086
10:48:31.829,0.086
10:48:32.830,0.086
10:48:33.830,0.086
10:48:34.829,0.087
10:48:35.830,0.087
10:48:36.829,0.087
10:48:37.830,0.087
10:48:38.829,0.087
10:48:39.830,0.087
10:48:40.830,0.087
10:48:41.829,0.087
10:48:42.830,0.087
10:48:43.829,0.087
10:48:44.829,0.087
10:48:45.829,0.089
10:48:46.830,0.088
10:48:47.830,0.089
10:48:48.830,0.089
10:48:49.830,0.089
10:48:50.829,0.089
10:48:51.830,0.089
10:48:52.830,0.088
10:48:53.830,0.089
10:48:54.830,0.089
10:48:55.830,0.089
10:48:56.830,0.089
10:48:57.829,0.089
10:48:58.829,0.09
10:48:59.829,0.09
10:49:00.830,0.09
10:49:01.830,0.091
10:49:02.830,0.09
10:49:03.830,0.09
10:49:04.829,0.089
10:49:05.829,0.09
10:49:06.830,0.089
10:49:07.830,0.09
10:49:08.830,0.09
10:49:09.830,0.09
10:49:10.830,0.09
10:49:11.830,0.09
10:49:12.830,0.09
10:49:13.830,0.09
10:49:14.830,0.09
10:49:15.829,0.09
10:49:16.830,0.09
10:49:17.830,0.09
10:49:18.830,0.09
10:49:19.830,0.09
10:49:20.830,0.09
10:49:21.830,0.091
10:49:22.830,0.09
10:49:23.830,0.09
10:49:24.830,0.09
10:49:25.830,0.09
10:49:26.829,0.09
10:49:27.830,0.09
10:49:28.830,0.09
10:49:29.830,0.089
10:49:30.830,0.089
10:49:31.829,0.09
10:49:32.830,0.09
10:49:33.830,0.089
10:49:34.830,0.089
10:49:35.830,0.089
10:49:36.830,0.089
10:49:37.830,0.089
10:49:38.830,0.088
10:49:39.830,0.088
10:49:40.830,0.088
10:49:41.830,0.088
10:49:42.830,0.088
10:49:43.830,0.088
10:49:44.830,0.087
10:49:45.830,0.087
10:49:46.830,0.087
10:49:47.830,0.087
10:49:48.830,0.088
10:49:49.830,0.087
10:49:50.830,0.087
10:49:51.830,0.087
10:49:52.830,0.086
10:49:53.830,0.086
10:49:54.830,0.086
10:49:55.830,0.086
10:49:56.831,0.085
10:49:57.830,0.085
10:49:58.830,0.086
10:49:59.830,0.085
10:50:00.830,0.085
10:50:01.830,0.084
10:50:02.831,0.084
10:50:03.830,0.083
10:50:04.830,0.083
10:50:05.830,0.083
10:50:06.830,0.082
10:50:07.830,0.082
10:50:08.830,0.082
10:50:09.830,0.082
10:50:10.830,0.082
10:50:11.831,0.081
10:50:12.831,0.082
10:50:13.830,0.081
10:50:14.831,0.081
10:50:15.830,0.08
10:50:16.830,0.08
10:50:17.830,0.08
10:50:18.830,0.079
10:50:19.831,0.079
10:50:20.830,0.079
10:50:21.830,0.079
10:50:22.830,0.079
10:50:23.830,0.081
10:50:24.830,0.078
10:50:25.831,0.078
10:50:26.830,0.078
10:50:27.830,0.078
10:50:28.831,0.077
10:50:29.830,0.077
10:50:30.831,0.077
10:50:31.830,0.077
10:50:32.830,0.077
10:50:33.831,0.076
10:50:34.831,0.077
10:50:35.830,0.075
10:50:36.830,0.075
10:50:37.830,0.075
10:50:38.830,0.075
10:50:39.831,0.074
10:50:40.830,0.074
10:50:41.830,0.075
10:50:42.830,0.074
10:50:43.831,0.074
10:50:44.830,0.073
10:50:45.830,0.074
10:50:46.830,0.073
10:50:47.830,0.073
10:50:48.830,0.073
10:50:49.830,0.073
10:50:50.830,0.072
10:50:51.830,0.072
10:50:52.830,0.072
10:50:53.830,0.072
10:50:54.831,0.072
10:50:55.831,0.073
10:50:56.830,0.072
10:50:57.831,0.071
10:50:58.830,0.071
10:50:59.830,0.071
10:51:00.830,0.07
10:51:01.830,0.07
10:51:02.830,0.07
10:51:03.830,0.07
10:51:04.831,0.07
10:51:05.831,0.07
10:51:06.831,0.068
10:51:07.830,0.068
10:51:08.831,0.068
10:51:09.830,0.068
10:51:10.830,0.068
10:51:11.831,0.068
10:51:12.830,0.068
10:51:13.830,0.068
10:51:14.831,0.068
10:51:15.830,0.067
10:51:16.831,0.068
10:51:17.830,0.068
10:51:18.831,0.067
10:51:19.831,0.067
10:51:20.830,0.067
10:51:21.830,0.067
10:51:22.831,0.067
10:51:23.830,0.067
10:51:24.831,0.067
10:51:25.831,0.067
10:51:26.831,0.066
10:51:27.831,0.066
10:51:28.830,0.066
10:51:29.831,0.066
10:51:30.830,0.066
10:51:31.831,0.066
10:51:32.831,0.066
10:51:33.830,0.066
10:51:34.831,0.065
10:51:35.831,0.066
10:51:36.830,0.066
10:51:37.830,0.066
10:51:38.831,0.066
10:51:39.831,0.066
10:51:40.830,0.066
10:51:41.830,0.066
10:51:42.831,0.066
10:51:43.830,0.066
10:51:44.831,0.066
10:51:45.831,0.066
10:51:46.830,0.066
10:51:47.831,0.066
10:51:48.830,0.066
10:51:49.831,0.066
10:51:50.830,0.066
10:51:51.830,0.066
10:51:52.830,0.066
10:51:53.831,0.066
10:51:54.831,0.066
10:51:55.831,0.067
10:51:56.831,0.067
10:51:57.831,0.066
10:51:58.830,0.067
10:51:59.831,0.067
10:52:00.831,0.067
10:52:01.831,0.067
10:52:02.831,0.067
10:52:03.830,0.067
10:52:04.830,0.067
10:52:05.831,0.068
10:52:06.831,0.068
10:52:07.831,0.067
10:52:08.831,0.068
10:52:09.831,0.067
10:52:10.831,0.067
10:52:11.831,0.068
10:52:12.831,0.068
10:52:13.831,0.068
10:52:14.831,0.068
10:52:15.830,0.068
10:52:16.831,0.068
10:52:17.830,0.069
10:52:18.831,0.069
