Time (s),Position (m)
10:04:59.812,0.062
10:05:01.813,0.062
10:05:02.813,0.062
10:05:03.812,0.063
10:05:04.812,0.063
10:05:05.813,0.063
10:05:06.813,0.063
10:05:07.813,0.063
10:05:08.813,0.064
10:05:09.812,0.064
10:05:10.812,0.066
10:05:11.812,0.065
10:05:12.813,0.066
10:05:13.813,0.065
10:05:14.813,0.065
10:05:15.813,0.065
10:05:16.813,0.067
10:05:17.812,0.066
10:05:18.812,0.066
10:05:19.813,0.068
10:05:20.813,0.066
10:05:21.813,0.066
10:05:22.812,0.067
10:05:23.813,0.067
10:05:24.813,0.067
10:05:25.813,0.069
10:05:26.812,0.069
10:05:27.813,0.069
10:05:28.813,0.067
10:05:29.812,0.069
10:05:30.812,0.07
10:05:31.813,0.067
10:05:32.813,0.068
10:05:33.813,0.068
10:05:34.812,0.069
10:05:35.812,0.07
10:05:36.812,0.071
10:05:37.813,0.069
10:05:38.813,0.069
10:05:39.813,0.069
10:05:40.812,0.07
10:05:41.812,0.07
10:05:42.813,0.071
10:05:43.813,0.07
10:05:44.813,0.071
10:05:45.813,0.071
10:05:46.812,0.072
10:05:47.813,0.07
10:05:48.813,0.072
10:05:49.813,0.071
10:05:50.813,0.071
10:05:51.813,0.071
10:05:52.813,0.072
10:05:53.813,0.072
10:05:54.813,0.071
10:05:55.813,0.071
10:05:56.813,0.071
10:05:57.813,0.072
10:05:58.813,0.072
10:05:59.813,0.072
10:06:00.813,0.072
10:06:01.813,0.072
10:06:02.813,0.071
10:06:03.812,0.073
10:06:04.813,0.072
10:06:05.813,0.072
10:06:06.813,0.074
10:06:07.813,0.072
10:06:08.812,0.072
10:06:09.813,0.074
10:06:10.813,0.072
10:06:11.813,0.072
10:06:12.812,0.073
10:06:13.813,0.071
10:06:14.813,0.072
10:06:15.813,0.072
10:06:16.813,0.073
10:06:17.813,0.071
10:06:18.813,0.072
10:06:19.813,0.072
10:06:20.813,0.072
10:06:21.813,0.071
10:06:22.813,0.073
10:06:23.813,0.071
10:06:24.813,0.072
10:06:25.813,0.071
10:06:26.813,0.071
10:06:27.813,0.07
10:06:28.813,0.071
10:06:29.813,0.071
10:06:30.813,0.072
10:06:31.813,0.07
10:06:32.813,0.071
10:06:33.813,0.071
10:06:34.813,0.071
10:06:35.813,0.07
10:06:36.813,0.07
10:06:37.813,0.07
10:06:38.813,0.07
10:06:39.814,0.071
10:06:40.813,0.073
10:06:41.813,0.073
10:06:42.814,0.07
10:06:43.813,0.082
10:06:44.813,0.07
10:06:45.813,0.071
10:06:46.814,0.07
10:06:47.814,0.071
10:06:48.813,0.07
10:06:49.813,0.068
10:06:50.813,0.07
10:06:51.814,0.067
10:06:52.813,0.07
10:06:53.814,0.068
10:06:54.813,0.067
10:06:55.813,0.067
10:06:56.813,0.067
10:06:57.813,0.068
10:06:58.813,0.066
10:06:59.814,0.068
10:07:00.813,0.066
10:07:01.813,0.066
10:07:02.814,0.066
10:07:03.813,0.066
10:07:04.813,0.066
10:07:05.813,0.067
10:07:06.813,0.065
10:07:07.814,0.064
10:07:08.813,0.065
10:07:09.813,0.064
