Time (s),Position (m)
10:49:11.647,0.161
10:49:12.647,0.161
10:49:13.647,0.161
10:49:14.647,0.161
10:49:15.647,0.161
10:49:16.648,0.161
10:49:17.647,0.161
10:49:18.647,0.161
10:49:19.647,0.161
10:49:20.647,0.161
10:49:21.647,0.162
10:49:22.647,0.162
10:49:23.647,0.162
10:49:24.647,0.162
10:49:25.647,0.162
10:49:26.647,0.162
10:49:27.647,0.162
10:49:28.647,0.162
10:49:29.647,0.163
10:49:30.647,0.163
10:49:31.648,0.163
10:49:32.647,0.163
10:49:33.647,0.163
10:49:34.647,0.163
10:49:35.647,0.164
10:49:36.647,0.164
10:49:37.647,0.164
10:49:38.648,0.164
10:49:39.647,0.164
10:49:40.647,0.165
10:49:41.647,0.165
10:49:42.647,0.165
10:49:43.647,0.165
10:49:44.647,0.165
10:49:45.647,0.166
10:49:46.647,0.166
10:49:47.648,0.166
10:49:48.647,0.166
10:49:49.647,0.167
10:49:50.647,0.167
10:49:51.647,0.167
10:49:52.647,0.168
10:49:53.647,0.168
10:49:54.647,0.168
10:49:55.647,0.168
10:49:56.647,0.169
10:49:57.647,0.169
10:49:58.647,0.17
10:49:59.647,0.17
10:50:00.647,0.17
10:50:01.647,0.17
10:50:02.647,0.171
10:50:03.648,0.171
10:50:04.647,0.171
10:50:05.647,0.172
10:50:06.647,0.172
10:50:07.647,0.172
10:50:08.647,0.173
10:50:09.647,0.173
10:50:10.647,0.173
10:50:11.647,0.174
10:50:12.647,0.174
10:50:13.647,0.174
10:50:14.647,0.175
10:50:15.647,0.175
10:50:16.647,0.175
10:50:17.647,0.176
10:50:18.647,0.176
10:50:19.647,0.176
10:50:20.647,0.177
10:50:21.647,0.177
10:50:22.647,0.178
10:50:23.647,0.178
10:50:24.648,0.178
10:50:25.647,0.178
10:50:26.647,0.179
10:50:27.647,0.179
10:50:28.648,0.179
10:50:29.647,0.18
10:50:30.647,0.18
10:50:31.647,0.181
10:50:32.647,0.181
10:50:33.647,0.181
10:50:34.647,0.181
10:50:35.647,0.182
10:50:36.647,0.182
10:50:37.647,0.182
10:50:38.647,0.183
10:50:39.647,0.183
10:50:40.647,0.183
10:50:41.647,0.184
10:50:42.647,0.184
10:50:43.647,0.184
10:50:44.647,0.185
10:50:45.647,0.185
10:50:46.648,0.185
10:50:47.647,0.186
10:50:48.647,0.186
10:50:49.647,0.186
10:50:50.647,0.187
10:50:51.647,0.187
10:50:52.647,0.187
10:50:53.647,0.187
10:50:54.647,0.188
10:50:55.647,0.188
10:50:56.647,0.188
10:50:57.647,0.188
10:50:58.647,0.189
10:50:59.648,0.189
10:51:00.647,0.189
10:51:01.647,0.19
10:51:02.647,0.19
10:51:03.647,0.19
10:51:04.647,0.19
10:51:05.647,0.19
10:51:06.647,0.191
10:51:07.647,0.191
10:51:08.647,0.191
10:51:09.647,0.191
10:51:10.647,0.191
10:51:11.647,0.191
10:51:12.647,0.191
10:51:13.647,0.192
10:51:14.647,0.192
10:51:15.648,0.192
10:51:16.647,0.192
10:51:17.647,0.192
10:51:18.647,0.193
10:51:19.647,0.193
10:51:20.647,0.193
10:51:21.647,0.193
10:51:22.647,0.193
10:51:23.647,0.193
10:51:24.647,0.193
10:51:25.647,0.193
10:51:26.647,0.193
10:51:27.647,0.193
10:51:28.647,0.194
10:51:29.647,0.194
10:51:30.647,0.194
10:51:31.647,0.194
10:51:32.647,0.194
10:51:33.647,0.194
10:51:34.648,0.194
10:51:35.647,0.194
10:51:36.647,0.194
10:51:37.647,0.194
10:51:38.648,0.194
10:51:39.647,0.194
10:51:40.648,0.194
10:51:41.647,0.194
10:51:42.647,0.194
10:51:43.647,0.194
10:51:44.647,0.194
10:51:45.647,0.194
10:51:46.647,0.194
10:51:47.647,0.194
10:51:48.647,0.194
10:51:49.647,0.194
10:51:50.647,0.194
10:51:51.647,0.194
10:51:52.647,0.194
10:51:53.647,0.193
10:51:54.647,0.193
10:51:55.648,0.193
10:51:56.647,0.193
10:51:57.647,0.193
10:51:58.647,0.193
10:51:59.647,0.193
10:52:00.647,0.193
10:52:01.647,0.193
10:52:02.647,0.193
10:52:03.647,0.193
10:52:04.648,0.192
10:52:05.647,0.192
10:52:06.648,0.192
10:52:07.647,0.192
10:52:08.647,0.192
10:52:09.647,0.191
10:52:10.647,0.191
10:52:11.647,0.191
10:52:12.647,0.191
10:52:13.647,0.191
10:52:14.648,0.191
10:52:15.647,0.191
10:52:16.647,0.19
10:52:17.647,0.19
10:52:18.647,0.19
10:52:19.647,0.19
10:52:20.647,0.19
10:52:21.647,0.189
10:52:22.647,0.189
10:52:23.647,0.189
10:52:24.647,0.189
10:52:25.647,0.188
10:52:26.647,0.188
10:52:27.647,0.188
10:52:28.648,0.188
10:52:29.647,0.187
10:52:30.647,0.187
10:52:31.647,0.187
10:52:32.647,0.187
10:52:33.647,0.186
10:52:34.647,0.186
10:52:35.647,0.186
10:52:36.647,0.186
10:52:37.647,0.185
10:52:38.648,0.185
10:52:39.647,0.185
10:52:40.647,0.184
10:52:41.647,0.184
10:52:42.647,0.184
10:52:43.647,0.184
10:52:44.647,0.183
10:52:45.647,0.183
10:52:46.647,0.183
10:52:47.647,0.182
10:52:48.647,0.182
10:52:49.648,0.182
10:52:50.647,0.182
10:52:51.647,0.181
10:52:52.647,0.181
10:52:53.647,0.181
10:52:54.647,0.18
10:52:55.647,0.18
10:52:56.647,0.18
10:52:57.647,0.18
10:52:58.647,0.179
10:52:59.647,0.179
10:53:00.647,0.179
10:53:01.647,0.178
10:53:02.647,0.178
10:53:03.647,0.178
10:53:04.647,0.178
10:53:05.647,0.177
10:53:06.647,0.177
10:53:07.647,0.177
10:53:08.647,0.176
10:53:09.647,0.176
10:53:10.647,0.176
10:53:11.647,0.176
10:53:12.647,0.175
10:53:13.647,0.175
10:53:14.647,0.175
10:53:15.648,0.175
10:53:16.647,0.174
10:53:17.647,0.174
10:53:18.647,0.174
10:53:19.647,0.173
10:53:20.647,0.173
10:53:21.647,0.173
10:53:22.647,0.173
10:53:23.648,0.172
10:53:24.647,0.172
10:53:25.647,0.172
10:53:26.647,0.172
10:53:27.647,0.171
10:53:28.648,0.171
10:53:29.647,0.171
10:53:30.647,0.171
10:53:31.647,0.171
10:53:32.647,0.17
10:53:33.647,0.17
10:53:34.648,0.17
10:53:35.647,0.17
10:53:36.647,0.17
10:53:37.648,0.17
10:53:38.647,0.169
10:53:39.647,0.169
10:53:40.647,0.169
10:53:41.647,0.169
10:53:42.647,0.169
10:53:43.647,0.168
10:53:44.647,0.168
10:53:45.647,0.168
10:53:46.647,0.168
10:53:47.647,0.168
10:53:48.647,0.168
10:53:49.648,0.168
10:53:50.647,0.167
10:53:51.647,0.167
10:53:52.647,0.167
10:53:53.647,0.167
10:53:54.647,0.167
10:53:55.647,0.167
10:53:56.647,0.167
10:53:57.647,0.167
10:53:58.647,0.166
10:53:59.647,0.166
10:54:00.647,0.166
10:54:01.647,0.166
10:54:02.647,0.166
10:54:03.647,0.166
10:54:04.647,0.166
10:54:05.647,0.166
10:54:06.647,0.166
10:54:07.647,0.166
10:54:08.647,0.166
10:54:09.647,0.166
10:54:10.647,0.166
10:54:11.647,0.166
10:54:12.647,0.166
10:54:13.647,0.166
10:54:14.647,0.166
10:54:15.648,0.166
10:54:16.647,0.166
10:54:17.647,0.166
10:54:18.647,0.166
10:54:19.647,0.166
10:54:20.648,0.166
10:54:21.647,0.166
