 mass A  
t x y 
2.934024E1 4.361365E2 -2.881515E2
2.937366E1 4.363381E2 -2.862465E2
2.940707E1 4.310170E2 -2.943304E2
2.944049E1 4.201127E2 -3.121570E2
2.947391E1 3.986327E2 -3.340541E2
2.950733E1 3.706090E2 -3.640927E2
2.954074E1 3.399243E2 -3.871936E2
2.957416E1 2.903164E2 -4.253892E2
2.960758E1 2.422972E2 -4.607676E2
2.964099E1 1.749421E2 -4.894699E2
2.967441E1 1.068346E2 -5.087801E2
2.970783E1 3.385322E1 -5.194545E2
2.974125E1 -3.835491E1 -5.192405E2
2.977466E1 -1.081007E2 -5.094728E2
2.980808E1 -1.797854E2 -4.915599E2
2.984150E1 -2.514965E2 -4.574538E2
2.987491E1 -3.004455E2 -4.240924E2
2.990833E1 -3.404488E2 -3.919842E2
2.994175E1 -3.548910E2 -3.785957E2
2.997516E1 -3.740073E2 -3.504471E2
3.000858E1 -3.954391E2 -3.318357E2
3.004200E1 -4.036634E2 -3.148908E2
3.007542E1 -4.072846E2 -3.072626E2
3.010883E1 -4.074162E2 -3.088290E2
3.014225E1 -4.016482E2 -3.186550E2
3.017567E1 -3.884933E2 -3.349107E2
3.020908E1 -3.688042E2 -3.574859E2
3.024250E1 -3.428629E2 -3.847875E2
3.027592E1 -3.089316E2 -4.143654E2
3.030934E1 -2.659788E2 -4.436827E2
3.034275E1 -2.168122E2 -4.734444E2
3.037617E1 -1.590781E2 -4.956614E2
3.040959E1 -1.066607E2 -5.116152E2
3.044300E1 -3.708583E1 -5.221849E2
3.047642E1 3.561476E1 -5.204281E2
3.050984E1 1.063222E2 -5.092049E2
3.054326E1 1.745669E2 -4.905288E2
3.057667E1 2.401333E2 -4.608180E2
3.061009E1 2.742742E2 -4.405855E2
3.064351E1 3.480525E2 -3.972949E2
3.067692E1 3.822427E2 -3.635781E2
3.071034E1 4.082687E2 -3.337910E2
3.074376E1 4.121987E2 -3.287638E2
3.077718E1 4.254895E2 -3.121708E2
3.081059E1 4.321340E2 -3.024345E2
3.084401E1 4.329635E2 -3.016279E2
3.087743E1 4.268501E2 -3.093865E2
3.091084E1 4.145129E2 -3.253875E2
3.094426E1 3.938122E2 -3.493299E2
3.097768E1 3.656283E2 -3.778189E2
3.101110E1 3.489490E2 -3.934020E2
3.104451E1 2.763450E2 -4.381920E2
3.107793E1 2.406496E2 -4.657314E2
3.111135E1 1.647888E2 -4.948341E2
3.114476E1 9.693474E1 -5.122736E2
3.117818E1 2.658417E1 -5.220127E2
3.121160E1 -4.370453E1 -5.204882E2
3.124502E1 -1.117200E2 -5.109368E2
3.127843E1 -1.800458E2 -4.928401E2
3.131185E1 -2.529408E2 -4.567577E2
3.134527E1 -2.986678E2 -4.215932E2
3.137868E1 -3.392449E2 -3.932451E2
3.141210E1 -3.546709E2 -3.799686E2
3.144552E1 -3.735966E2 -3.538141E2
3.147894E1 -3.927135E2 -3.346254E2
3.151235E1 -4.010390E2 -3.186257E2
3.154577E1 -4.050418E2 -3.116759E2
3.157919E1 -4.063846E2 -3.149264E2
3.161260E1 -4.004538E2 -3.256034E2
3.164602E1 -3.829698E2 -3.396974E2
3.167944E1 -3.671563E2 -3.655885E2
3.171286E1 -3.366322E2 -3.895844E2
3.174627E1 -3.037512E2 -4.216938E2
3.177969E1 -2.589326E2 -4.495049E2
3.181311E1 -2.087570E2 -4.759429E2
3.184652E1 -1.621872E2 -4.976314E2
3.187994E1 -8.884182E1 -5.152903E2
3.191336E1 -2.783849E1 -5.228187E2
3.194678E1 4.317145E1 -5.192032E2
3.198019E1 1.068482E2 -5.089794E2
3.201361E1 1.772252E2 -4.889552E2
3.204703E1 2.434451E2 -4.627424E2
3.208044E1 2.756005E2 -4.389848E2
3.211386E1 3.481942E2 -3.974887E2
3.214728E1 3.812867E2 -3.637735E2
3.218070E1 3.892888E2 -3.544696E2
3.221411E1 4.100186E2 -3.314622E2
3.224753E1 4.221971E2 -3.155935E2
3.228095E1 4.285778E2 -3.074081E2
3.231436E1 4.282389E2 -3.075665E2
3.234778E1 4.218481E2 -3.160593E2
3.238120E1 4.082814E2 -3.327279E2
3.241462E1 3.870651E2 -3.563369E2
3.244803E1 3.578163E2 -3.851608E2
3.248145E1 3.286052E2 -4.041722E2
3.251487E1 2.893373E2 -4.363249E2
3.254828E1 2.182441E2 -4.692569E2
3.258170E1 1.560272E2 -4.946638E2
3.261512E1 8.720279E1 -5.115460E2
3.264854E1 1.724130E1 -5.198376E2
3.268195E1 -5.391899E1 -5.208281E2
3.271537E1 -1.183141E2 -5.067603E2
3.274879E1 -1.914351E2 -4.868438E2
3.278220E1 -2.552964E2 -4.533610E2
3.281562E1 -3.010438E2 -4.200338E2
3.284904E1 -3.404487E2 -3.914082E2
3.288246E1 -3.540445E2 -3.792375E2
3.291587E1 -3.736356E2 -3.545075E2
3.294929E1 -3.902930E2 -3.353813E2
3.298271E1 -3.987155E2 -3.209846E2
3.301612E1 -4.022073E2 -3.153079E2
3.304954E1 -4.003500E2 -3.185447E2
3.308296E1 -3.921408E2 -3.290579E2
3.311638E1 -3.783477E2 -3.473048E2
3.314979E1 -3.596822E2 -3.713672E2
3.318321E1 -3.331716E2 -3.989659E2
3.321663E1 -2.948284E2 -4.271519E2
3.325004E1 -2.523568E2 -4.573819E2
3.328346E1 -2.008409E2 -4.811482E2
3.331688E1 -1.491837E2 -5.027807E2
3.335029E1 -8.534282E1 -5.143017E2
3.338371E1 -2.065949E1 -5.216636E2
3.341713E1 4.684043E1 -5.183309E2
3.345055E1 1.134564E2 -5.067461E2
3.348396E1 1.776374E2 -4.910798E2
3.351738E1 2.457863E2 -4.609875E2
3.355080E1 2.789796E2 -4.353336E2
3.358421E1 3.484312E2 -3.954838E2
3.361763E1 3.819342E2 -3.631638E2
3.365105E1 3.899220E2 -3.532262E2
3.368447E1 4.091958E2 -3.319129E2
3.371788E1 4.200486E2 -3.173585E2
3.375130E1 4.249201E2 -3.104873E2
3.378472E1 4.238990E2 -3.119218E2
3.381813E1 4.152577E2 -3.212943E2
3.385155E1 4.001735E2 -3.384004E2
3.388497E1 3.757059E2 -3.599303E2
3.391839E1 3.487251E2 -3.922800E2
3.395180E1 3.172861E2 -4.098317E2
3.398522E1 2.663502E2 -4.466188E2
3.401864E1 2.077229E2 -4.750412E2
3.405205E1 1.440211E2 -4.983870E2
3.408547E1 7.413511E1 -5.147500E2
3.411889E1 4.551742E0 -5.207178E2
3.415231E1 -6.475016E1 -5.176283E2
3.418572E1 -1.299974E2 -5.049595E2
3.421914E1 -1.918387E2 -4.872626E2
3.425256E1 -2.603274E2 -4.525203E2
3.428597E1 -3.065225E2 -4.204269E2
3.431939E1 -3.435197E2 -3.893145E2
3.435281E1 -3.572036E2 -3.773714E2
3.438623E1 -3.739149E2 -3.537176E2
3.441964E1 -3.900575E2 -3.355959E2
3.445306E1 -1.018595E3 -2.515661E2
3.448648E1 -1.020598E3 -2.475835E2
3.451989E1 -1.017180E3 -2.514351E2
3.455331E1 -3.894689E2 -3.376414E2
3.458673E1 -3.715879E2 -3.547450E2
3.462015E1 -3.493679E2 -3.779514E2
3.465356E1 -3.202968E2 -4.057327E2
3.468698E1 -2.829121E2 -4.333713E2
3.472040E1 -2.391350E2 -4.612893E2
3.475381E1 -1.896011E2 -4.867864E2
3.478723E1 -1.360143E2 -5.028541E2
3.482065E1 -7.061561E1 -5.166085E2
3.485407E1 6.585069E-1 -5.209904E2
3.488748E1 6.275809E1 -5.165769E2
3.492090E1 1.292255E2 -5.028876E2
3.495432E1 1.979788E2 -4.831206E2
3.498773E1 2.557007E2 -4.526360E2
3.502115E1 2.851933E2 -4.309328E2
3.505457E1 3.496172E2 -3.906682E2
3.508799E1 3.839025E2 -3.620618E2
3.512140E1 3.919936E2 -3.519946E2
3.515482E1 4.093682E2 -3.318235E2
3.518824E1 4.198524E2 -3.192973E2
3.522165E1 4.241039E2 -3.138646E2
3.525507E1 4.210131E2 -3.173753E2
3.528849E1 4.116386E2 -3.292525E2
3.532191E1 3.942204E2 -3.483488E2
3.535532E1 3.699136E2 -3.728856E2
3.538874E1 3.519840E2 -3.888581E2
3.542216E1 2.960629E2 -4.211508E2
3.545557E1  
3.548899E1  
3.552241E1 2.877286E2 -4.834897E2
3.555583E1  
3.558924E1  
3.562266E1  
3.565608E1  
3.568949E1  
3.572291E1  
3.575633E1  
3.578975E1  
3.582316E1  
3.585658E1  
3.589000E1  
3.592341E1  
3.595683E1  
3.599025E1  
3.602367E1  
3.605708E1  
3.609050E1  
3.612392E1  
3.615733E1  
3.619075E1  
3.622417E1  
3.625759E1  
3.629100E1  
3.632442E1  
3.635784E1  
3.639125E1  
3.642467E1  
3.645809E1  
3.649151E1 2.899724E2 -4.431508E2
3.652492E1 3.350309E2 -4.031508E2
3.655834E1  
3.659176E1 3.957276E2 -3.307570E2
3.662517E1 4.120438E2 -3.128355E2
3.665859E1 4.160126E2 -3.063606E2
3.669201E1 4.181069E2 -3.033321E2
3.672543E1 4.139750E2 -3.090359E2
3.675884E1 4.024288E2 -3.232446E2
3.679226E1 3.845025E2 -3.435630E2
3.682568E1 3.584992E2 -3.695017E2
3.685909E1 3.222272E2 -4.012382E2
3.689251E1 2.860249E2 -4.273581E2
3.692593E1 2.263201E2 -4.613645E2
3.695934E1 1.721682E2 -4.851816E2
3.699276E1 1.018862E2 -5.053900E2
3.702618E1 3.439118E1 -5.154644E2
3.705960E1 -3.300553E1 -5.167314E2
3.709301E1 -1.012771E2 -5.073665E2
3.712643E1 -1.667531E2 -4.893739E2
3.715985E1 -2.234369E2 -4.652896E2
3.719326E1 -2.771903E2 -4.334219E2
3.722668E1 -3.206056E2 -4.101076E2
3.726010E1 -3.475785E2 -3.766105E2
3.729352E1 -3.649002E2 -3.698813E2
3.732693E1 -3.824446E2 -3.501994E2
3.736035E1 -3.872617E2 -3.322634E2
3.739377E1 -3.924598E2 -3.255174E2
3.742718E1 -3.921919E2 -3.260770E2
3.746060E1 -3.861867E2 -3.347995E2
3.749402E1 -3.734236E2 -3.497784E2
3.752744E1 -3.542734E2 -3.702607E2
3.756085E1 -3.291869E2 -3.944927E2
3.759427E1 -2.958997E2 -4.218950E2
3.762769E1 -2.555106E2 -4.494896E2
3.766110E1 -2.100716E2 -4.733549E2
3.769452E1 -1.553009E2 -4.953306E2
3.772794E1 -9.464586E1 -5.104561E2
3.776136E1 -3.042538E1 -5.188686E2
3.779477E1 3.649410E1 -5.181305E2
3.782819E1 1.010397E2 -5.083975E2
3.786161E1 1.646722E2 -4.903065E2
3.789502E1 2.202473E2 -4.670973E2
3.792844E1 2.689920E2 -4.410589E2
3.796186E1  
3.799528E1 3.474364E2 -3.834434E2
3.802869E1 3.846821E2 -3.476274E2
3.806211E1 3.914175E2 -3.387930E2
3.809553E1 4.040274E2 -3.232933E2
3.812894E1 4.108403E2 -3.149273E2
3.816236E1 4.108919E2 -3.148170E2
3.819578E1 4.043141E2 -3.231237E2
3.822920E1 3.905052E2 -3.390461E2
3.826261E1 3.710570E2 -3.594298E2
3.829603E1 3.443973E2 -3.851389E2
3.832945E1 3.099489E2 -4.216148E2
3.836286E1 2.608301E2 -4.449123E2
3.839628E1 2.058991E2 -4.731335E2
3.842970E1 1.486263E2 -4.947924E2
3.846312E1 8.467679E1 -5.110959E2
3.849653E1 1.989812E0 -5.193374E2
3.852995E1 -5.947127E1 -5.158843E2
3.856337E1 -1.253440E2 -5.035098E2
3.859678E1 -1.832567E2 -4.850217E2
3.863020E1 -2.421630E2 -4.610600E2
3.866362E1 -2.898074E2 -4.274895E2
3.869704E1 -3.250847E2 -3.975541E2
3.873045E1 -3.544838E2 -3.714569E2
3.876387E1 -3.685258E2 -3.658828E2
3.879729E1 -3.779813E2 -3.443538E2
3.883070E1 -3.870933E2 -3.327903E2
3.886412E1 -3.900345E2 -3.288058E2
3.889754E1 -3.871562E2 -3.322772E2
3.893096E1 -3.789104E2 -3.434496E2
3.896437E1 -3.687232E2 -3.637978E2
3.899779E1 -3.469231E2 -3.856395E2
3.903121E1 -3.149485E2 -4.073969E2
3.906462E1 -2.796655E2 -4.341790E2
3.909804E1 -2.377844E2 -4.604758E2
3.913146E1 -1.876359E2 -4.833364E2
3.916488E1 -1.310467E2 -5.026308E2
3.919829E1 -7.194268E1 -5.150080E2
3.923171E1 -4.454174E0 -5.220336E2
3.926513E1 5.928879E1 -5.152800E2
3.929854E1 1.226246E2 -5.028042E2
3.933196E1 1.873835E2 -4.824944E2
3.936538E1 2.442974E2 -4.555303E2
3.939880E1 2.812967E2 -4.332374E2
3.943221E1 3.221517E2 -4.047309E2
3.946563E1 3.625152E2 -3.692763E2
3.949905E1 3.881183E2 -3.434136E2
3.953246E1 3.954763E2 -3.336211E2
3.956588E1 4.053597E2 -3.215156E2
3.959930E1 4.087841E2 -3.170972E2
3.963272E1 4.068781E2 -3.195069E2
3.966613E1 3.972760E2 -3.309290E2
3.969955E1 3.811428E2 -3.489903E2
3.973297E1 3.589755E2 -3.711098E2
3.976638E1 3.273347E2 -3.993397E2
3.979980E1 2.857160E2 -4.292721E2
3.983322E1 2.419998E2 -4.552994E2
3.986664E1 1.840269E2 -4.822487E2
3.990005E1 1.216252E2 -5.022022E2
3.993347E1 5.645080E1 -5.144577E2
3.996689E1 -8.878707E0 -5.183987E2
4.000030E1 -8.851513E1 -5.122757E2
4.003372E1 -1.493880E2 -4.973513E2
4.006714E1 -2.058517E2 -4.749995E2
4.010056E1 -2.575967E2 -4.472962E2
4.013397E1 -3.021722E2 -4.174399E2
4.016739E1 -3.353297E2 -3.889350E2
4.020081E1 -3.549973E2 -3.788579E2
4.023422E1 -3.673422E2 -3.562223E2
4.026764E1 -3.813618E2 -3.427267E2
4.030106E1 -3.869934E2 -3.336838E2
4.033447E1 -3.870156E2 -3.325965E2
4.036789E1 -3.820667E2 -3.390428E2
4.040131E1 -3.709226E2 -3.524233E2
4.043473E1 -3.540704E2 -3.709014E2
4.046814E1 -3.298633E2 -3.938921E2
4.050156E1 -2.986600E2 -4.202511E2
4.053498E1 -2.606621E2 -4.472224E2
4.056839E1 -2.150402E2 -4.724671E2
4.060181E1 -1.634351E2 -4.926290E2
4.063523E1 -1.049744E2 -5.085946E2
4.066865E1 -4.121204E1 -5.182515E2
4.070206E1 2.295119E1 -5.182803E2
4.073548E1 8.540004E1 -5.106059E2
4.076890E1 1.514193E2 -4.945330E2
4.080231E1 2.008163E2 -4.763648E2
4.083573E1 2.600703E2 -4.463697E2
4.086915E1 3.019042E2 -4.288373E2
4.090257E1 3.389297E2 -4.020035E2
4.093598E1 3.716011E2 -3.608055E2
4.096940E1 3.995124E2 -3.456647E2
4.100282E1 4.049302E2 -3.385899E2
4.103623E1 4.118940E2 -3.299234E2
4.106965E1 4.131464E2 -3.283830E2
4.110307E1 4.073966E2 -3.344041E2
4.113649E1 3.953129E2 -3.482963E2
4.116990E1 3.756192E2 -3.680397E2
4.120332E1 3.439220E2 -3.874342E2
4.123674E1 3.107705E2 -4.193550E2
4.127015E1 2.641010E2 -4.446507E2
4.130357E1 2.118398E2 -4.712813E2
4.133699E1 1.532996E2 -4.942679E2
4.137041E1 8.993562E1 -5.103639E2
4.140382E1 2.408229E1 -5.182504E2
4.143724E1 -4.529018E1 -5.180892E2
4.147066E1 -1.142130E2 -5.067376E2
4.150407E1 -1.749633E2 -4.884551E2
4.153749E1 -2.284110E2 -4.652395E2
4.157091E1 -2.815052E2 -4.372795E2
4.160433E1 -3.191680E2 -4.100641E2
4.163774E1 -3.490257E2 -3.837159E2
4.167116E1  
4.170458E1  
4.173799E1 -3.816674E2 -3.433321E2
4.177141E1 -3.869039E2 -3.392852E2
4.180483E1 -3.843463E2 -3.415159E2
4.183825E1 -3.758167E2 -3.512975E2
4.187166E1 -3.617126E2 -3.673264E2
4.190508E1 -3.392930E2 -3.878230E2
4.193850E1 -3.115796E2 -4.124969E2
4.197191E1 -2.760077E2 -4.381376E2
4.200533E1 -2.334343E2 -4.633730E2
4.203875E1 -1.836026E2 -4.857683E2
4.207217E1 -1.286638E2 -5.062524E2
4.210558E1 -6.888155E1 -5.166906E2
4.213900E1 -9.823727E-1 -5.229711E2
4.217242E1 5.747790E1 -5.183068E2
4.220583E1 1.131170E2 -5.066409E2
4.223925E1 1.776403E2 -4.885286E2
4.227267E1 2.327927E2 -4.627333E2
4.230609E1 2.740592E2 -4.438584E2
4.233950E1 3.187010E2 -4.154913E2
4.237292E1 3.536848E2 -3.896165E2
4.240634E1 3.806884E2 -3.653716E2
4.243975E1 3.976119E2 -3.474936E2
4.247317E1 4.076492E2 -3.361990E2
4.250659E1 4.115409E2 -3.315221E2
4.254001E1 4.093365E2 -3.340924E2
4.257342E1 4.012131E2 -3.434339E2
4.260684E1 3.837491E2 -3.610836E2
4.264026E1 3.596977E2 -3.837775E2
4.267367E1 3.257178E2 -4.064053E2
4.270709E1 2.853426E2 -4.334267E2
