t,x,y
0.1666097,333.5,-95.5
0.1999316,332.1558,-101.5129
0.2332536,325.3476,-121.8432
0.2665755,313.6339,-156.1604
0.2998975,289.5184,-201.4176
0.3332194,259.071,-261.3366
0.3665414,192.8706,-301.0062
0.3998633,121.5144,-352.4084
0.4331852,29.3351,-373.9029
0.4665072,-66.35275,-370.2474
0.4998291,-156.488,-342.7898
0.5331511,-217.2432,-299.7089
0.566473,-278.1819,-252.1362
0.5997949,-302.268,-192.6547
0.6331169,-329.512,-151.5132
0.6664388,-337.7728,-117.3581
0.6997608,-353.4842,-100.3482
0.7330827,-356.2246,-95.61414
0.7664046,-353.2994,-105.3195
0.7997266,-347.0157,-130.3597
0.8330485,-319.5403,-163.4425
0.8663705,-302.0696,-215.7454
0.8996924,-259.2022,-267.5378
0.9330144,-190.7745,-304.7568
0.9663363,-115.7192,-341.2965
0.9996582,-31.59234,-366.5484
1.03298,54.30214,-354.9005
1.066302,134.4198,-331.4666
1.099624,202.6978,-304.3325
1.132946,255.765,-258.0977
1.166268,288.4538,-204.6699
1.19959,317.5461,-164.3638
1.232912,327.6991,-130.5978
1.266234,335.6952,-110.3865
1.299556,337.7801,-104.3393
1.332878,334.8526,-110.552
1.3662,334.6426,-134.2341
1.399522,309.2849,-164.9214
1.432843,287.6292,-212.5354
1.466165,247.7889,-264.2786
1.499487,186.6375,-310.4659
1.532809,107.6928,-341.8894
1.566131,19.66559,-373.5952
1.599453,-74.98684,-364.5
1.632775,-162.5714,-339.1714
1.666097,-221.5625,-293.5838
1.699419,-267.8632,-239.3841
1.732741,-305.4049,-193.642
1.766063,-323.4549,-150.7351
1.799385,-335.8526,-121.0733
1.832707,-354.4735,-107.4117
1.866029,-343.0523,-102.5808
1.899351,-346.2815,-115.5811
1.932673,-338.057,-142.6064
1.965995,-320.0915,-181.7484
1.999316,-289.7869,-228.4413
2.032638,-239.1771,-273.9391
2.06596,-175.7558,-315.3381
2.099282,-101.0524,-350.5676
2.132604,-17.12871,-370.9081
2.165926,66.70468,-352.8955
2.199248,143.0958,-328.1954
2.23257,207.7415,-296.0261
2.265892,255.4513,-247.7454
2.299214,290.0289,-200.7252
2.332536,318.0353,-163.6341
2.365858,331.0757,-133.6743
2.39918,334.712,-115.6661
2.432502,334.1731,-111.7803
2.465824,330.9018,-121.5954
2.499146,327.6568,-147.2635
2.532468,302.6983,-179.4283
2.565789,278.2333,-230.5472
2.599111,226.8898,-273.232
2.632433,167.3878,-324.2365
2.665755,84.52029,-348.8378
2.699077,-5.633649,-364.3948
2.732399,-98.86882,-357.8035
2.765721,-173.4532,-333.4015
2.799043,-239.2539,-287.9678
2.832365,-288.8417,-238.3203
2.865687,-317.3256,-189.5728
2.899009,-325.4112,-147.4775
2.932331,-349.512,-125.259
2.965653,-352.5922,-112.3557
2.998975,-350.7578,-113.6745
3.032297,-334.4762,-127.4059
3.065619,-322.0754,-155.8515
3.098941,-310.1911,-201.7243
3.132262,-265.4715,-241.7849
3.165584,-223.1815,-297.6319
3.198906,-151.6993,-331.4782
3.232228,-74.77752,-365.3508
3.26555,9.763046,-359.6939
3.298872,90.46103,-348.4548
3.332194,165.287,-326.4266
3.365516,221.6537,-278.815
3.398838,268.3901,-235.7283
3.43216,303.974,-194.2287
3.465482,321.0272,-157.7441
3.498804,329.2368,-131.6939
3.532126,333.3539,-119.6441
3.565448,334.0562,-121.2574
3.59877,326.8292,-135.422
3.632092,310.5892,-161.4776
3.665414,288.6907,-200.839
3.698735,254.8339,-247.2385
3.732057,202.8205,-294.2366
3.765379,136.3658,-342.4488
3.798701,50.68902,-368.5905
