t,x,y
0.4665618,382.3786,-36.20047
0.4998876,376.4782,-51.86315
0.5332135,368.4628,-89.19749
0.5665393,360.2708,-149.3903
0.5998651,323.9685,-217.9601
0.633191,254.3749,-287.4952
0.6665168,152.7877,-342.6376
0.6998427,26.42039,-367.4609
0.7331685,-117.2774,-340.0262
0.7664943,-219.3717,-281.2182
0.7998202,-282.6502,-218.6668
0.833146,-323.0117,-152.3654
0.8664719,-343.2115,-97.72763
0.8997977,-376.3376,-61.55352
0.9331235,-362.2129,-46.82365
0.9664494,-371.1791,-51.93778
0.9997752,-364.3089,-82.78993
1.033101,-335.0749,-133.9064
1.066427,-299.4097,-188.7893
1.099753,-243.9656,-257.3955
1.133079,-162.6821,-319.8279
1.166404,-43.75199,-371.34
1.19973,73.84481,-364.5084
1.233056,186.2189,-360.9455
1.266382,268.3428,-288.0241
1.299708,318.8073,-210.6478
1.333034,359.3602,-149.3182
1.366359,379.045,-101.1606
1.399685,382.6374,-72.04465
1.433011,382.1551,-66.25754
1.466337,375.8672,-82.56441
1.499663,365.9987,-121.2906
1.532989,340.4065,-174.6354
1.566315,296.6641,-239.9149
1.59964,221.9289,-304.6868
1.632966,123.3352,-354.048
1.666292,-0.7052346,-367.5628
1.699618,-137.8911,-332.2582
1.732944,-246.5139,-274.6646
1.76627,-287.3444,-212.5805
1.799595,-353.5798,-158.9941
1.832921,-370.7611,-107.2005
1.866247,-375.0479,-75.59377
1.899573,-375.1197,-66.20398
1.932899,-369.8851,-80.81485
1.966225,-333.446,-117.0371
1.99955,-320.0777,-166.7264
2.032876,-275.9767,-223.4566
2.066202,-211.4588,-286.1049
2.099528,-121.1756,-339.8398
2.132854,3.049573,-369.1715
2.16618,114.4992,-358.047
2.199506,210.4588,-324.0975
2.232831,283.358,-261.9049
2.266157,338.7466,-200.7297
2.299483,369.0065,-144.2686
2.332809,381.4479,-104.1642
2.366135,383.3417,-85.44897
2.399461,380.6472,-88.4183
2.432786,364.6833,-113.3034
2.466112,351.6888,-159.4464
2.499438,323.9174,-224.7846
2.532764,261.8714,-291.7742
2.56609,171.8662,-342.9978
2.599416,59.0329,-368.57
2.632741,-75.92813,-357.3255
2.666067,-188.1377,-305.3442
2.699393,-285.7707,-257.9094
2.732719,-325.4509,-194.1893
2.766045,-331.2108,-135.4621
2.799371,-358.3052,-100.7357
2.832696,-361.5912,-84.0298
2.866022,-370.2809,-89.01281
2.899348,-362.4108,-116.2909
2.932674,-332.9772,-160.5874
2.966,-293.7456,-215.2305
2.999326,-234.2122,-272.1931
3.032652,-153.3391,-325.8497
3.065977,-38.39162,-365.786
3.099303,74.82534,-363.2756
3.132629,178.2431,-343.5817
3.165955,270.6916,-308.3816
3.199281,314.0967,-226.6468
3.232607,355.537,-171.0197
3.265932,378.2348,-129.087
3.299258,376.2254,-101.4663
3.332584,375.4509,-98.36206
3.36591,372.4034,-118.3613
3.399236,358.6239,-159.2781
3.432562,329.2537,-216.2687
3.465887,271.6572,-277.6218
3.499213,190.1189,-329.0884
3.532539,86.91925,-365.4602
3.565865,-36.05421,-371.2307
3.599191,-159.4126,-322.6562
3.632517,-238.4247,-266.5741
3.665843,-289.7971,-207.6154
3.699168,-321.2719,-155.8503
3.732494,-336.4353,-117.1712
3.76582,-341.3544,-98.12563
3.799146,-371.0158,-100.2053
3.832472,-333.5602,-120.7823
3.865798,-339.1959,-164.9233
3.899123,-288.0304,-210.9759
3.932449,-237.3016,-266.5267
3.965775,-163.4111,-320.4462
3.999101,-49.81845,-364.7762
4.032427,58.24869,-369.8828
4.065753,165.3574,-352.4044
4.099078,253.3302,-318.6569
4.132404,302.6466,-240.6154
4.16573,355.1554,-193.428
4.199056,367.2142,-142.2231
4.232382,376.206,-115.9527
4.265708,377.5359,-111.1856
4.299033,371.2801,-127.3051
4.332359,353.1105,-163.2717
4.365685,337.5654,-230.3279
4.399011,263.8935,-272.8269
4.432337,192.0516,-328.9162
4.465663,90.21298,-364.5433
4.498989,-25.75474,-367.5092
4.532314,-152.3067,-325.1431
4.56564,-256.3064,-285.1201
4.598966,-299.0068,-225.6909
4.632292,-345.4307,-175.2655
4.665618,-332.9479,-128.9858
4.698944,-369.9985,-112.27
4.732269,-369.9151,-112.8329
4.765595,-362.7969,-136.0287
4.798921,-343.6664,-178.3122
4.832247,-307.5901,-231.8635
4.865573,-233.1308,-275.3979
4.898899,-159.6997,-322.9185
4.932224,-64.39238,-373.6834
4.96555,46.40951,-388.1034
4.998876,150.4748,-365.3624
5.032202,231.1955,-308.602
5.065528,294.8699,-252.9152
5.098854,332.9932,-195.5773
5.13218,364.0523,-159.5445
5.165505,372.1974,-134.3904
5.198831,373.4396,-130.5801
5.232157,367.0117,-148.6815
5.265483,340.631,-183.6801
5.298809,309.944,-239.7939
5.332135,253.3442,-304.0494
5.36546,168.3587,-354.8476
5.398786,62.48091,-366.642
5.432112,-63.16731,-363.0181
5.465438,-176.0844,-345.7737
5.498764,-249.3412,-297.9758
5.53209,-290.1548,-232.8353
5.565415,-314.3983,-180.129
5.598741,-331.8861,-145.2253
5.632067,-338.1985,-128.7364
5.665393,-337.6329,-133.0347
5.698719,-338.7423,-159.1665
5.732045,-307.3943,-196.8956
5.76537,-269.2697,-252.8365
5.798696,-212.4075,-308.792
5.832022,-130.4988,-349.0068
5.865348,-43.51621,-364.7535
5.898674,69.76007,-386.1833
5.932,170.8985,-367.4513
5.965326,240.9427,-327.084
5.998651,297.6395,-246.1902
6.031977,341.6762,-201.393
6.065303,363.5493,-163.5558
6.098629,359.4657,-138.4946
6.131955,367.8741,-143.1603
6.165281,356.1162,-165.6343
6.198606,338.9796,-210.534
6.231932,292.9284,-262.8091
6.265258,229.0089,-326.1401
6.298584,139.573,-375.3176
6.33191,37.57711,-389.3092
6.365236,-82.17566,-365.8659
6.398561,-180.1093,-338.428
6.431887,-258.6566,-289.101
6.465213,-296.8377,-229.0099
6.498539,-333.4218,-185.1243
6.531865,-331.6756,-152.9516
6.565191,-335.1842,-143.2144
6.598517,-332.7609,-152.8197
6.631842,-314.8451,-178.8935
6.665168,-292.1055,-227.3186
6.698494,-241.1723,-276.701
6.73182,-182.5435,-333.3772
6.765146,-104.6447,-377.9379
6.798472,-13.59017,-390.3804
6.831797,102.6101,-382.8148
6.865123,190.1371,-339.8129
6.898449,261.9761,-290.0046
6.931775,307.9346,-233.3428
6.965101,341.3034,-191.6481
6.998427,348.6253,-158.6177
7.031752,364.3544,-152.5104
7.065078,358.9591,-160.2055
7.098404,336.6197,-182.4764
7.13173,309.7055,-228.5252
7.165056,279.6184,-290.6364
7.198382,211.596,-340.1596
7.231707,117.5532,-355.1475
7.265033,16.32748,-369.3396
7.298359,-85.13103,-355.9349
7.331685,-186.2194,-329.154
7.365011,-254.6991,-286.6541
7.398337,-303.7457,-236.1005
7.431663,-317.2821,-190.0911
7.464988,-336.5562,-164.4853
7.498314,-329.3885,-156.0478
7.53164,-334.4654,-172.1802
7.564966,-303.5953,-199.8323
7.598292,-286.9587,-252.0407
