t,x,y
1.599462,300.036,-131.6706
1.632784,298.0202,-135.721
1.666106,290.172,-151.6877
1.699428,275.2059,-177.5019
1.73275,249.8452,-212.0757
1.766072,212.7318,-249.0889
1.799395,162.2334,-284.0598
1.832717,100.6244,-312.1373
1.866039,29.79018,-326.1151
1.899361,-49.69403,-332.3726
1.932683,-115.7668,-303.4447
1.966005,-179.7829,-278.9891
1.999327,-223.4955,-244.7107
2.032649,-249.7605,-204.6041
2.065972,-273.0856,-174.4501
2.099294,-282.2837,-150.8251
2.132616,-293.0103,-139.6448
2.165938,-294.7345,-138.4236
2.19926,-288.5863,-147.9336
2.232582,-278.9214,-168.5885
2.265904,-262.8645,-199.5864
2.299226,-227.5569,-231.024
2.332549,-192.2854,-271.2121
2.365871,-138.7375,-303.6178
2.399193,-71.01463,-319.4926
2.432515,2.330585,-329.6035
2.465837,72.92269,-321.5086
2.499159,137.2927,-303.2135
2.532481,189.521,-270.709
2.565803,230.9684,-236.8618
2.599125,265.097,-206.7116
2.632448,286.7211,-177.5816
2.66577,298.6059,-156.0013
2.699092,304.8819,-144.6841
2.732414,304.5246,-144.6242
2.765736,298.3259,-156.6286
2.799058,284.2291,-178.4785
2.83238,259.41,-208.3123
2.865702,223.1753,-240.937
2.899025,177.2879,-276.5444
2.932347,119.027,-305.944
2.965669,50.7679,-326.1006
2.998991,-21.81599,-328.1286
3.032313,-93.21429,-312.0562
3.065635,-160.0762,-289.9331
3.098957,-207.5534,-257.3173
3.132279,-244.5569,-222.6729
3.165602,-267.3419,-188.6729
3.198924,-277.2011,-161.648
3.232246,-285.1286,-146.5324
3.265568,-286.7084,-141.8436
3.29889,-284.1053,-148.3208
3.332212,-281.484,-167.7225
3.365534,-262.2423,-192.7311
3.398856,-239.0112,-228.48
3.432179,-194.8652,-256.8134
3.465501,-146.9351,-288.1121
3.498823,-86.60493,-315.8502
3.532145,-16.75293,-333.033
3.565467,55.13494,-325.3004
3.598789,118.6462,-307.6279
3.632111,175.2711,-281.5762
3.665433,219.382,-248.3985
3.698755,253.8272,-217.8058
3.732078,275.9183,-185.7985
3.7654,294.5569,-165.9225
3.798722,301.6585,-151.8319
3.832044,302.2335,-148.6475
3.865366,297.8424,-157.7766
3.898688,285.2609,-176.5227
3.93201,259.8351,-201.7628
3.965332,229.0842,-235.3916
3.998655,188.0223,-272.3008
4.031977,131.0734,-301.7549
4.065299,65.66905,-322.1038
4.098621,-5.746865,-328.72
4.131943,-76.95477,-317.4032
4.165265,-141.3968,-290.151
4.198587,-189.0094,-261.464
4.231909,-227.3392,-228.6705
4.265232,-253.9388,-196.1194
4.298554,-271.3016,-170.4202
4.331876,-280.3839,-152.9743
4.365198,-284.3862,-146.4386
4.39852,-281.9939,-150.5982
4.431842,-274.1637,-164.9748
4.465164,-258.9266,-188.8579
4.498486,-234.3968,-219.1157
4.531809,-199.974,-252.9003
4.565131,-154.9607,-285.2283
4.598453,-95.83744,-310.3022
4.631775,-31.74429,-334.3118
4.665097,41.65935,-327.5732
4.698419,106.8607,-312.3624
4.731741,163.2836,-288.0006
4.765063,212.111,-259.9267
4.798385,246.4282,-225.3677
4.831708,270.369,-194.6236
4.86503,284.9578,-170.7721
4.898352,293.8117,-155.9055
4.931674,295.1896,-150.6916
4.964996,297.6204,-159.6533
4.998318,283.251,-172.5114
5.03164,263.0007,-196.7589
5.064962,238.2208,-226.0196
5.098285,200.02,-259.7408
5.131607,150.7556,-296.8319
5.164929,89.50558,-317.6365
5.198251,21.72015,-329.967
5.231573,-52.29818,-326.2445
5.264895,-113.547,-312.5523
5.298217,-166.8963,-288.9582
5.331539,-210.6821,-256.4982
5.364862,-240.5626,-221.7802
5.398184,-259.3085,-191.9765
5.431506,-271.6952,-170.9113
5.464828,-277.7063,-159.9906
5.49815,-277.6067,-160.184
5.531472,-271.6533,-171.6249
5.564794,-259.1905,-193.8352
5.598116,-235.6521,-221.6189
5.631439,-207.2678,-257.855
5.664761,-161.1689,-286.8138
5.698083,-107.2855,-310.8499
5.731405,-49.6624,-329.584
5.764727,16.91954,-329.6682
5.798049,80.83328,-321.7401
5.831371,142.2248,-298.3124
5.864693,194.8044,-273.0269
5.898015,227.5048,-246.5257
5.931338,256.3153,-216.9461
5.96466,276.7346,-190.5688
5.997982,288.5138,-172.5634
6.031304,293.0629,-164.7073
6.064626,290.3727,-168.2264
6.097948,281.3116,-182.6534
6.13127,263.8812,-206.6094
6.164592,235.4821,-237.0124
6.197915,198.4063,-270.5964
6.231237,147.0448,-294.443
6.264559,88.69883,-318.1882
6.297881,20.89031,-329.8578
6.331203,-47.07911,-328.7641
6.364525,-111.4597,-315.1424
6.397847,-161.2104,-290.8843
6.431169,-206.4339,-260.9816
6.464492,-240.2223,-228.963
6.497814,-255.6069,-196.7882
6.531136,-269.2485,-176.2828
6.564458,-275.5591,-165.0369
6.59778,-275.5621,-164.9291
6.631102,-269.6224,-175.7166
6.664424,-256.2494,-196.79
6.697746,-240.8173,-229.0506
6.731069,-203.1769,-256.9253
6.764391,-163.0466,-290.514
6.797713,-111.0765,-316.746
